# char	base	case	accent	rank	code	type   — Chroma UTF base table, DUCET 16.0.0 with case above accent. rank orders, code draws.
0	8678	2	0	1	256	digit
1	8679	2	0	2	307	digit
2	8680	2	0	3	358	digit
3	8681	2	0	4	409	digit
4	8682	2	0	5	460	digit
5	8683	2	0	6	511	digit
6	8684	2	0	7	562	digit
7	8685	2	0	8	613	digit
8	8686	2	0	9	664	digit
9	8687	2	0	10	715	digit
a	9196	2	0	11	1024	letter
á	9196	2	1	12	1034	letter
à	9196	2	2	13	1044	letter
ă	9196	2	3	14	1054	letter
â	9196	2	4	15	1064	letter
ǎ	9196	2	5	16	1074	letter
å	9196	2	6	17	1084	letter
ǻ	9196	2	6.1	18	1094	letter
ä	9196	2	7	19	1104	letter
ǟ	9196	2	7.13	20	1114	letter
ã	9196	2	9	21	1124	letter
ȧ	9196	2	10	22	1134	letter
ǡ	9196	2	10.13	23	1144	letter
ą	9196	2	12	24	1154	letter
ā	9196	2	13	25	1164	letter
ȁ	9196	2	14	26	1174	letter
ȃ	9196	2	15	27	1184	letter
A	9196	8	0	28	1194	letter
Á	9196	8	1	29	1204	letter
À	9196	8	2	30	1214	letter
Ă	9196	8	3	31	1224	letter
Â	9196	8	4	32	1234	letter
Ǎ	9196	8	5	33	1244	letter
Å	9196	8	6	34	1254	letter
Ǻ	9196	8	6.1	35	1264	letter
Ä	9196	8	7	36	1274	letter
Ǟ	9196	8	7.13	37	1284	letter
Ã	9196	8	9	38	1294	letter
Ȧ	9196	8	10	39	1304	letter
Ǡ	9196	8	10.13	40	1314	letter
Ą	9196	8	12	41	1324	letter
Ā	9196	8	13	42	1334	letter
Ȁ	9196	8	14	43	1344	letter
Ȃ	9196	8	15	44	1354	letter
b	9222	2	0	45	1364	letter
B	9222	8	0	46	1374	letter
c	9248	2	0	47	1384	letter
ć	9248	2	1	48	1394	letter
ĉ	9248	2	4	49	1404	letter
č	9248	2	5	50	1414	letter
ċ	9248	2	10	51	1424	letter
ç	9248	2	11	52	1434	letter
C	9248	8	0	53	1444	letter
Ć	9248	8	1	54	1454	letter
Ĉ	9248	8	4	55	1464	letter
Č	9248	8	5	56	1474	letter
Ċ	9248	8	10	57	1484	letter
Ç	9248	8	11	58	1494	letter
d	9270	2	0	59	1504	letter
ď	9270	2	5	60	1514	letter
D	9270	8	0	61	1524	letter
Ď	9270	8	5	62	1534	letter
e	9299	2	0	63	1544	letter
é	9299	2	1	64	1554	letter
è	9299	2	2	65	1564	letter
ĕ	9299	2	3	66	1574	letter
ê	9299	2	4	67	1584	letter
ě	9299	2	5	68	1594	letter
ë	9299	2	7	69	1604	letter
